groups,n_features,cv_rmse_mean,cv_rmse_std,fold_rmses
"['categorical', 'booleans', 'composite_risk', 'time', 'interactions']",16,0.05750803274021286,0.00011901944909264032,"[0.05772286261676517, 0.05749024509476435, 0.057513588813087296, 0.05745035676892084, 0.05736311040752659]"
"['categorical', 'booleans', 'interactions']",12,0.057528197593500516,0.0001232935418889305,"[0.0577452036091753, 0.057532094952205896, 0.057519647405370536, 0.05747805511293782, 0.05736598688781305]"
"['booleans', 'composite_risk', 'interactions']",11,0.05752875586388302,0.00011663591370520364,"[0.05773450974262097, 0.057518738814535, 0.0575380958276982, 0.057473489030911096, 0.05737894590364982]"
"['categorical', 'booleans', 'time', 'interactions']",13,0.0575399519217872,0.00011936437896022787,"[0.057752356469169465, 0.05752978200389613, 0.05754287017067821, 0.057487214161919466, 0.05738753680327276]"
"['composite_risk', 'time', 'interactions']",8,0.05755417965319366,0.00012289476321250848,"[0.05776852351665962, 0.057540946619726946, 0.05756964606454295, 0.05749930052853812, 0.05739248153650066]"
"['categorical', 'composite_risk', 'time', 'interactions']",12,0.05757550774133833,0.0001237224068526398,"[0.05779353328461494, 0.057574022426706596, 0.057569294538913574, 0.05752883137742688, 0.05741185707902965]"
"['categorical', 'composite_risk', 'interactions']",11,0.05757583729102692,0.00011845845113538619,"[0.057786828506417226, 0.057570173363334996, 0.05756105889000607, 0.05754072849375978, 0.057420397201616506]"
"['composite_risk', 'interactions']",7,0.057594479923925114,0.00012744129760697574,"[0.05781623685775006, 0.057579411458769186, 0.05760993211384963, 0.057542108909204887, 0.057424710280051826]"
"['categorical', 'interactions']",8,0.05759523084481102,0.00011861139236388046,"[0.05779965712363657, 0.057601793463439445, 0.057593961503000515, 0.0575474560182308, 0.05743328611574778]"
"['categorical', 'time', 'interactions']",9,0.05760074806769373,0.0001234690268377385,"[0.05782486586503755, 0.05758594172384988, 0.05759493913697814, 0.05754916953779562, 0.05744882407480744]"
"['booleans', 'base_numeric', 'time']",9,0.10551371077738161,0.0002370806839245615,"[0.10538419965287847, 0.10577145290252, 0.10579407318805041, 0.10517570777080626, 0.10544312037265287]"
"['booleans', 'base_numeric', 'time', 'logs']",10,0.10552638014753105,0.00024200002466409688,"[0.10540028948386576, 0.10578856428609949, 0.10581496769055485, 0.10518228052460495, 0.10544579875253016]"
"['booleans', 'base_numeric', 'speed_o_curve', 'time', 'logs']",11,0.10552848968182456,0.0002378440173760619,"[0.10539941617257578, 0.10579504691471536, 0.10580912579691015, 0.10519908146593648, 0.10543977805898501]"
"['booleans', 'base_numeric']",8,0.10552916555100303,0.00023455972278639772,"[0.10538768163082078, 0.1057568646979641, 0.10583185859831494, 0.10520058682103724, 0.1054688360068781]"
"['booleans', 'base_numeric', 'speed_o_curve', 'time']",10,0.10553064255155094,0.00024459742321463124,"[0.10540076366078788, 0.10579270592770568, 0.10582928340516891, 0.1051895275312076, 0.1054409322328846]"
"['booleans', 'base_numeric', 'speed_o_curve', 'logs']",10,0.10554641534492333,0.00023938158422887772,"[0.1054164149502256, 0.10578974498139151, 0.10584444374951375, 0.10520475892582754, 0.10547671411765824]"
"['booleans', 'base_numeric', 'speed_o_curve']",9,0.10554851658376514,0.0002419454464106931,"[0.10539855377055803, 0.10578480542411615, 0.10586217066906145, 0.1052143702690663, 0.10548268278602381]"
"['booleans', 'base_numeric', 'logs']",9,0.10554851658376514,0.0002419454464106931,"[0.10539855377055803, 0.10578480542411615, 0.10586217066906145, 0.1052143702690663, 0.10548268278602381]"
"['booleans', 'base_numeric', 'speed_o_curve', 'logs', 'interactions']",14,0.10557889224082558,0.00023444954763802975,"[0.10546333748318813, 0.10582191875660044, 0.10586818471703506, 0.10524425282237955, 0.10549676742492467]"
"['booleans', 'base_numeric', 'speed_o_curve', 'time', 'interactions']",14,0.10557956450797604,0.00023419361230912517,"[0.1054622659532761, 0.1058387249092937, 0.10585323210519473, 0.10524514304014353, 0.10549845653197214]"
"['booleans', 'base_numeric', 'interactions']",12,0.10558072597854451,0.00023427381902744004,"[0.105461676752073, 0.10583375629299203, 0.10586046572210672, 0.10524661135714147, 0.10550111976840934]"
"['booleans', 'base_numeric', 'speed_o_curve', 'interactions']",13,0.10558084151566327,0.00023057481151186966,"[0.10544091264455586, 0.10583145050323103, 0.1058599240095282, 0.10526431671434511, 0.10550760370665614]"
"['booleans', 'base_numeric', 'logs', 'interactions']",13,0.10558084151566327,0.00023057481151186966,"[0.10544091264455586, 0.10583145050323103, 0.1058599240095282, 0.10526431671434511, 0.10550760370665614]"
